"ticker","asset_type","exchange","currency","sector","theme","source","status","strategy_eligible","watchlist_eligible","benchmark_eligible","wealthsimple_supported_status","added_at","archived_at","notes"
"V","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"LRCX","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ETH-USD","crypto","crypto","USD","Crypto","Ethereum and crypto proxies","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Yahoo Finance Ethereum benchmark"
"COHR","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"CU","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"XIC.TO","etf","TSX","CAD","Canada broad equity","Canadian broad market","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Canadian broad market ETF benchmark"
"BTC-USD","crypto","crypto","USD","Crypto","Bitcoin and crypto proxies","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Yahoo Finance Bitcoin benchmark"
"SYM","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"NOW","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"USDCUSD","crypto","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"BNS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"TEO","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"GLDM","etf","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"KLAC","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"XIU.TO","etf","TSX","CAD","Canada large-cap equity","Canadian equities","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","TSX 60 ETF benchmark"
"SPMO","etf","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"ADBE","stock","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"NASA","etf","","","","","trades.csv","active","true","true","false","unknown","2026-01-01","","Seeded from existing paper-trading ledger"
"IWM","etf","NYSEARCA","USD","US small-cap equity","small-cap stocks","benchmark_registry.csv","benchmark","false","false","true","unknown","2026-06-03","","Russell 2000 ETF benchmark"
"ONDS","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-29","","Seeded from existing paper-trading ledger"
"MP","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
"LIN","stock","","","","","trades.csv","active","true","true","false","unknown","2026-05-20","","Seeded from existing paper-trading ledger"
